EZSave    09/07/2015
VM-830 V3.40 J.P.Instruments (c) 2015
Aircraft Number edm830
Flight #72 6/14/2013 10:58:04 PM
Eng Deg    F OAT Deg    F     F/F GPH
Actual Duration 0.03 Hours, Interval 6 Seconds
Date,TIME,E1,E2,E3,E4,E5,E6,C1,C2,C3,C4,C5,C6,OILT,DIF,CLD,OAT,BAT,FF,USD,RPM,MAP,HP,OILP,HRS,FF2,USD2,MARK
06/14/13, 22:58:04, 1085, 1144, 1137, 1140, 1179, 1166, 255, 296, 304, 308, 305, 306, 105, 94, 12, 77,27.4,3.3,0.2, 1223,19.0, 23, 59,24.7,NA,NA,
06/14/13, 22:58:10, 1153, 1207, 1185, 1175, 1212, 1207, 255, 296, 304, 312, 305, 306, 105, 59, 0, 77,27.6,7.6,0.2, 1570,19.6, 32, 65,24.7,NA,NA,
06/14/13, 22:58:16, 1192, 1214, 1197, 1198, 1234, 1215, 255, 303, 309, 315, 310, 311, 105, 42, 0, 77,27.6,9.4,0.2, 1750,20.7, 37, 65,24.7,NA,NA,
06/14/13, 22:58:22, 1213, 1224, 1219, 1218, 1257, 1233, 255, 308, 309, 318, 314, 315, 105, 44, 0, 77,27.6,9.6,0.2, 1776,20.7, 37, 65,24.7,NA,NA,
06/14/13, 22:58:28, 1228, 1238, 1234, 1235, 1267, 1247, 259, 312, 314, 321, 318, 318, 105, 39, 0, 77,27.8,10.0,0.2, 1798,21.1, 39, 65,24.7,NA,NA,
06/14/13, 22:58:34, 1220, 1226, 1226, 1225, 1254, 1235, 263, 316, 317, 324, 322, 318, 105, 34, 0, 77,27.8,10.9,0.2, 1790,21.1, 39, 65,24.7,NA,NA,
06/14/13, 22:58:40, 1220, 1226, 1226, 1225, 1254, 1235, 267, 320, 320, 324, 325, 323, 105, 34, 0, 75,27.8,10.9,0.2, 1783,21.3, 39, 65,24.7,NA,NA,
06/14/13, 22:58:46, 1220, 1226, 1226, 1225, 1254, 1235, 271, 323, 320, 328, 328, 323, 105, 34, 0, 75,27.8,10.9,0.2, 1809,21.3, 39, 65,24.7,NA,NA,
06/14/13, 22:58:52, 1297, 1304, 1294, 1307, 1294, 1300, 275, 326, 323, 328, 328, 327, 105, 13, 0, 75,27.8,10.5,0.4, 1682,22.4, 39, 65,24.7,NA,NA,
06/14/13, 22:58:58, 1240, 1249, 1250, 1253, 1264, 1255, 275, 326, 323, 331, 331, 327, 111, 24, 0, 75,27.8,11.0,0.4, 1810,21.5, 39, 65,24.7,NA,NA,
06/14/13, 22:59:04, 1314, 1289, 1323, 1285, 1309, 1299, 279, 331, 326, 331, 331, 330, 111, 38, 0, 75,27.8,10.5,0.4, 1654,22.7, 39, 65,5.6,NA,NA,
06/14/13, 22:59:10, 1329, 1306, 1333, 1294, 1320, 1305, 282, 331, 326, 331, 335, 330, 111, 39, 0, 75,27.8,10.5,0.4, 1705,22.4, 39, 65,5.6,NA,NA,
06/14/13, 22:59:16, 1257, 1251, 1262, 1252, 1273, 1260, 285, 331, 329, 334, 335, 330, 111, 22, 0, 75,27.8,11.0,0.4, 1809,21.4, 39, 65,5.6,NA,NA,
06/14/13, 22:59:22, 1225, 1231, 1240, 1232, 1252, 1239, 285, 336, 329, 334, 339, 334, 111, 27, 0, 75,27.8,10.2,0.4, 1525,23.9, 39, 65,5.6,NA,NA,
06/14/13, 22:59:28, 1207, 1206, 1214, 1212, 1227, 1218, 290, 336, 333, 338, 339, 334, 111, 21, 0, 75,27.8,10.0,0.4, 1554,23.6, 39, 65,5.6,NA,NA,
06/14/13, 22:59:34, 1226, 1231, 1237, 1235, 1251, 1237, 293, 340, 333, 338, 343, 338, 111, 25, 0, 75,27.8,11.0,0.4, 1807,21.4, 39, 65,5.6,NA,NA,
06/14/13, 22:59:40, 1237, 1217, 1223, 1224, 1227, 1204, 293, 340, 333, 338, 343, 338, 111, 33, 0, 75,27.8,3.8,0.4, 1101,14.5, 16, 65,5.6,NA,NA,
06/14/13, 22:59:46, 927, 1051, 1114, 1110, 1110, 1085, 298, 337, 333, 335, 343, 338, 117, 187, 13, 75,25.6,1.8,0.4, 669,15.8, 10, 54,5.6,NA,NA,
06/14/13, 22:59:52, 818, 1011, 1072, 1068, 1068, 1040, 298, 334, 333, 335, 343, 335, 117, 254, 0, 75,25.2,1.8,0.4, 683,15.8, 10, 54,5.6,NA,NA,[
06/14/13, 22:59:53, 853, 1033, 1072, 1068, 1068, 1040, 298, 334, 333, 332, 340, 335, 117, 219, 0, 75,25.5,2.2,0.4, 787,15.8, 12, 54,5.6,NA,NA,
06/14/13, 22:59:54, 853, 1033, 1068, 1064, 1071, 1038, 299, 333, 332, 332, 340, 334, 117, 218, 0, 75,25.5,2.2,0.4, 787,15.8, 12, 54,5.6,NA,NA,]
